time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Activity
2025-11-21 14:33:05.386813+00:00,-0.2017,0.6622,-0.7559,-0.4732,0.0685,-0.2344,-0.0115,0.0199,0.0052,143.4874,-139.2701,-11.9151,Sit
2025-11-21 14:33:05.487098+00:00,-0.106,0.6876,-0.8829,0.4908,0.7297,-1.2124,-0.0176,0.1457,0.0883,142.7935,-139.3205,-11.4265,Sit
2025-11-21 14:33:05.587417+00:00,-0.1035,0.6549,-0.7315,0.4677,-0.1273,0.0116,0.1461,-0.3051,0.0785,142.9948,-138.7526,-11.3081,Sit
2025-11-21 14:33:05.687361+00:00,-0.1421,0.6617,-0.7828,0.0432,0.0696,-0.5448,-0.053,0.0565,0.0602,144.0304,-139.0683,-11.502,Sit
2025-11-21 14:33:05.787356+00:00,-0.1402,0.6495,-0.7457,0.0105,-0.1426,-0.0603,-0.0713,0.1762,0.0858,142.265,-138.6988,-10.408,Sit
2025-11-21 14:33:05.887663+00:00,-0.1338,0.671,-0.8067,-0.3277,0.0018,-0.6026,-0.1373,0.3852,0.2068,138.4794,-138.31,-8.22,Sit
2025-11-21 14:33:05.987818+00:00,-0.0151,0.6739,-0.7511,0.4574,-0.1897,-0.1689,-0.2082,0.2691,0.2019,132.455,-137.1211,-4.5412,Sit
2025-11-21 14:33:06.088081+00:00,-0.0317,0.69,-0.7144,0.1608,-0.0413,0.1289,0.0166,-0.0095,0.1347,128.9837,-136.4525,-2.1901,Sit
2025-11-21 14:33:06.188213+00:00,-0.0801,0.6993,-0.7491,-0.4144,0.0252,-0.1881,-0.0005,-0.1133,-0.0266,130.8365,-136.4197,-2.9464,Sit
2025-11-21 14:33:06.288449+00:00,0.0303,0.6944,-0.7408,0.7254,0.0027,-0.0756,0.0325,-0.0205,-0.0852,131.7365,-136.5296,-3.451,Sit
2025-11-21 14:33:06.389291+00:00,-0.023,0.6959,-0.7486,0.2162,0.0903,-0.1129,0.0301,-0.0632,-0.029,131.3037,-136.8652,-3.3178,Sit
2025-11-21 14:33:06.488764+00:00,-0.0645,0.6837,-0.7408,-0.1564,-0.0744,-0.0445,0.0411,0.0113,-0.0828,131.6769,-137.0881,-3.6406,Sit
2025-11-21 14:33:06.589127+00:00,-0.062,0.6812,-0.7486,-0.0974,-0.0259,-0.0248,0.0521,-0.0363,-0.0107,132.3323,-137.486,-4.1558,Sit
2025-11-21 14:33:06.689249+00:00,-0.0527,0.6749,-0.7657,0.0397,-0.0613,-0.2076,-0.0017,-0.0119,-0.0131,132.7878,-137.8384,-4.3342,Sit
2025-11-21 14:33:06.789398+00:00,-0.0552,0.6851,-0.7442,0.008,-0.002,0.0725,-0.0066,-0.018,-0.0058,132.9332,-137.8247,-4.4398,Sit
2025-11-21 14:33:06.889671+00:00,-0.0547,0.6783,-0.7442,0.0388,-0.0138,0.0265,-0.0078,0.004,-0.0058,132.9561,-137.7628,-4.4673,Sit
2025-11-21 14:33:06.989910+00:00,-0.0557,0.6763,-0.7462,0.0422,-0.0238,0.0014,-0.0139,0.0125,-0.0082,132.7569,-137.7228,-4.3852,Sit
2025-11-21 14:33:07.089854+00:00,-0.0601,0.6837,-0.755,-0.0015,-0.0064,-0.0772,0.0044,-0.0021,0.0027,132.8202,-137.733,-4.4326,Sit
2025-11-21 14:33:07.190234+00:00,-0.0552,0.6837,-0.7496,0.0174,0.0037,0.0243,0.0057,-0.0009,0.0015,132.8364,-137.761,-4.4284,Sit
2025-11-21 14:33:07.290429+00:00,-0.0596,0.6812,-0.7491,0.0122,-0.014,0.009,0.0105,0.0003,0.0003,132.7635,-137.7892,-4.3854,Sit
2025-11-21 14:33:07.390707+00:00,-0.0547,0.6807,-0.752,0.0343,-0.0045,-0.0114,0.0069,0.0003,-0.0021,132.7513,-137.8514,-4.3689,Sit
2025-11-21 14:33:07.490936+00:00,-0.0571,0.6812,-0.753,-0.0103,-0.0108,-0.0206,0.0081,-0.007,0.0003,132.7708,-137.8948,-4.3675,Sit
2025-11-21 14:33:07.591274+00:00,-0.0562,0.6817,-0.7545,0.0122,0.0122,-0.0149,0.002,0.0003,0.0015,132.7632,-137.9159,-4.3569,Sit
2025-11-21 14:33:07.691184+00:00,-0.0591,0.6788,-0.7501,-0.0048,0.0065,0.0071,0.002,0.0015,-0.0009,132.7236,-137.9137,-4.3349,Sit
2025-11-21 14:33:07.791251+00:00,-0.0576,0.6802,-0.7511,0.0005,-0.0295,-0.0119,0.0032,-0.0009,-0.0021,132.7361,-137.9314,-4.3369,Sit
2025-11-21 14:33:07.891478+00:00,-0.0542,0.6817,-0.7554,0.0005,-0.0075,-0.024,-0.0005,-0.0021,-0.0009,132.7806,-137.9519,-4.3565,Sit
2025-11-21 14:33:07.991965+00:00,-0.0576,0.6793,-0.7486,0.0101,0.0067,0.0065,0.0032,-0.0021,-0.0021,132.7795,-137.9516,-4.3559,Sit
2025-11-21 14:33:08.092112999+00:00,-0.0591,0.6817,-0.7569,0.0075,0.0223,-0.0571,0.0118,0.0003,0.0003,132.8593,-137.9877,-4.3912,Sit
2025-11-21 14:33:08.192010+00:00,-0.0576,0.6798,-0.7496,-0.0204,0.0112,0.0157,0.0179,-0.0034,0.0015,132.8545,-138.0447,-4.3719,Sit
2025-11-21 14:33:08.292330+00:00,-0.0562,0.6763,-0.7554,0.0162,-0.0299,-0.0377,0.0032,0.0003,0.0003,132.9003,-138.1245,-4.375,Sit
2025-11-21 14:33:08.392746+00:00,-0.0557,0.6763,-0.7584,-0.0002,0.0042,-0.0622,-0.0017,-0.0046,0.0003,132.8764,-138.1558,-4.3524,Sit
2025-11-21 14:33:08.492907+00:00,-0.0581,0.6744,-0.7545,-0.0014,-0.0107,-0.0007,0.0081,-0.0021,0.0027,132.9008,-138.1627,-4.3643,Sit
2025-11-21 14:33:08.592985+00:00,-0.0566,0.6768,-0.7554,0.0134,0.0007,-0.0145,0.0081,-0.0034,0.0003,132.9214,-138.2013,-4.365,Sit
2025-11-21 14:33:08.693350+00:00,-0.0562,0.6788,-0.7642,0.0043,0.0143,-0.0675,-0.0017,-0.0119,-0.0034,132.9671,-138.2368,-4.3809,Sit
2025-11-21 14:33:08.793422+00:00,-0.0557,0.6788,-0.7506,0.0215,0.0209,0.0235,-0.0017,0.0027,0.0052,132.9655,-138.1732,-4.3983,Sit
2025-11-21 14:33:08.893620+00:00,-0.0625,0.6744,-0.7511,-0.0338,-0.0116,0.0138,0.0118,-0.0095,0.0052,132.9293,-138.1479,-4.3849,Sit
2025-11-21 14:33:08.993952+00:00,-0.0596,0.6729,-0.7467,-0.0059,-0.0197,0.054,-0.0029,0.004,0.0015,132.9403,-138.1852,-4.3825,Sit
2025-11-21 14:33:09.094223+00:00,-0.0596,0.6734,-0.7476,-0.0083,-0.0178,0.0273,-0.0029,-0.0021,-0.0034,132.9075,-138.201,-4.3607,Sit
2025-11-21 14:33:09.194295+00:00,-0.0571,0.6754,-0.7506,0.0017,0.0064,0.0398,0.0081,-0.0009,0.0027,132.9919,-138.2258,-4.4022,Sit
2025-11-21 14:33:09.294606+00:00,-0.0596,0.6734,-0.7535,-0.014,-0.0044,0.0107,-0.0005,-0.0021,-0.0034,133.0104,-138.2476,-4.4076,Sit
